title,bland,year
竜姫ぐーたらいふ,Whirlpool,2020
竜姫ぐーたらいふ LOVE+PLUS,Whirlpool,2020
竜姫ぐーたらいふ2,Whirlpool,2021
けもの道☆ガーリッシュスクエア,Whirlpool,2021
アメイジング・グレイス,きゃべつそふと,2018
あまいろショコラータ,きゃべつそふと,2020
さくらの雲 スカアレットの恋,きゃべつそふと,2020
あまいろショコラータ2,きゃべつそふと,2021
鍵を隠したカゴのトリ,Cabbt,2020
終ノ空,ケロQ,1999
素晴らしき日々,ケロQ,2010
終ノ空Remake,ケロQ,2020
サクラノ詩,枕,2015
テレビの消えた日,ぷちけろ,2007
コトバの消えた日,ぷちけろ,2014
君と歩んだ偽物,トリミノそふと,2020
彼と彼女と彼女の忠義,non color,2009
ノラと皇女と野良猫ハート,HARUKAZE,2016
ノラと皇女と野良猫ハート2,HARUKAZE,2017
ノラと皇女と野良猫ハート+5th Anniv,HARUKAZE,2021
Monkeys!!,HARUKAZE,2021
マルコと銀河竜,TOKYOTOON,2020
抜きゲーみたいな島に住んでる貧乳はどうすりゃいいですか?,Qruppo,2018
抜きゲーみたいな島に住んでる貧乳はどうすりゃいいですか? 2,Qruppo,2019
抜きゲーみたいな島に住んでいる貧乳はどうすりゃいいですか？ 2スス子ルートアペンド,Qruppo,2020
抜きゲーみたいな島に住んでいる貧乳はどうすりゃいいですか？ 2ヒナミアペンド,Qruppo,2021
いろとりどりのセカイ,FAVORITE,2011
いろとりどりのヒカリ,FAVORITE,2012
紅い瞳に映るセカイ,FAVORITE,2015
さくら、もゆ。,FAVORITE,2019
星空のメモリアHD,FAVORITE,2019
星空のメモリア-Eternal Heart-HD,FAVORITE,2019
ハッピーライブ ショウアップ!,FAVORITE,2021
青い空のカミュ,KAI,2019
はるまで、くるる。,すみっこ,2012
なつくもゆるる,すみっこ,2013
あきゆめくくる,すみっこ,2016
ふゆから、くるる。,シルキーズプラス,2021
缶詰少女ノ終末世界,シルキーズプラス,2019
缶詰少女ノ終末世界 アナザー八乙女華江編,シルキーズプラス,2021
なないろリンカネーション,シルキーズプラスwasabi,2014
あけいろ怪奇譚,シルキーズプラスwasabi,2016
きまぐれテンプテーション,シルキーズプラスwasabi,2019
景の海のアペイリア,シルキーズプラスDOLCE,2017
景の海のアペイリア～カサブランカの騎士～,シルキーズプラスDOLCE,2017
同級生リメイク,FANZAGAMES,2021
ISLAND,frontwing,2016
グリザイアファントムトリガーvol.1,frontwing,2017
グリザイアファントムトリガーvol.2,frontwing,2017
ろけらぶ-Location Love-電車×同級生,frontwing,2019
届けそらの彼方まで,EIME,2019
雨上がりのあの場所で,EIME,2021
SHUFFLE!,Navel,2004
SPIRAL!!,Navel,2019
SHUFFLE!エピソード2,Navel,2020
俺たちに翼はない,Navel,2009
黄昏のフォルクローレ,Citrus,2019
保健室のセンセーとシャボン玉中毒の助手,Citrus,2020
ATRI,ANIPLEX.EXE,2020
徒花異譚,ANIPLEX.EXE,2020
ネコぱら Vol.1,NEKO WORKs,2014
ネコぱら Vol.0,NEKO WORKs,2015
ネコぱら Vol.2,NEKO WORKs,2016
ネコぱら Vol.3,NEKO WORKs,2017
ネコぱら Vol.4,NEKO WORKs,2020
ネコぱら Extra,NEKO WORKs,2018
ネコぱら-Catboys Paradise,NEKO WORKs,2021
PEACE@PIECES,ユニゾンシフト,2004
ななついろ★ドロップス,ユニゾンシフト,2006
ALICEぱれーど,ユニゾンシフト,2007
Flyable Heart,ユニゾンシフト,2009
君の名残は静かに揺れて,ユニゾンシフト,2010
Flyable CandyHeart,ユニゾンシフト,2011
時計仕掛けのレイライン-黄昏時の境界線-,ユニゾンシフト,2012
時計仕掛けのレイライン-残影の夜が明ける時-,ユニゾンシフト,2013
時計仕掛けのレイライン-朝霧に散る花-,ユニゾンシフト,2015
Fate stay night,TypeMoon,2004
月姫 -A piece of blue glass moon-,TypeMoon,2021
人類最強性欲の嫁 工口倫子,PRINCIPIA,2019
人類最強性欲の嫁の実家,PRINCIPIA,2021
未来ラジオと人工鳩,Laplacian,2018
白昼夢の青写真,Laplacian,2020
ヤキモチストリーム,まどそふと,2014
QUALIA ～約束の軌跡～,PURESIS,2020
ひぐらしのなく頃に,07thExpansion,2004
ひぐらしのなく頃に解,07thExpansion,2006
ひぐらしのなく頃に礼,07thExpansion,2006
うみねこのなく頃に,07thExpansion,2008
うみねこのなく頃に散,07thExpansion,2010
うみねこのなく頃に翼,07thExpansion,2010
うみねこのなく頃に羽,07thExpansion,2011
うみねこのなく頃に咲,07thExpansion,2019
キコニアのなく頃に phase1,07thExpansion,2019
彼岸花の咲く夜に第一夜,07thExpansion,2011
彼岸花の咲く夜に第二夜,07thExpansion,2011
ローズガンズデイズ,07thExpansion,2014
トライアンソロジー,07thExpansion,2016
euphoria,CLOCKUP,2011
Erewhon,CLOCKUP,2018
宿星のガールフレンド,mirai,2018
月影のシミュラクル-解放の羽-,あっぷりけ,2017
枯れない世界と終わる花,SWEET&TEA,2016
猫撫ディストーション,WHITESOFT,2011
車輪の国、向日葵の少女,あかべえそふとつぅ,2005
車輪の国、悠久の少年少女,あかべえそふとつぅ,2007
G線上の魔王,あかべえそふとつぅ,2008
ぼくの一人戦争,あかべえそふとつぅ,2015
CHAOS;HEAD NOAH,5pb.,2009
STEINS;GATE,5pb.,2009
STEINS;GATE0,5pb.,2015
かまいたちの夜 輪廻彩声,5pb.,2017
WORLD END ECONOMiCA,Spicy Tails,2013
moon.,NEXTON,1997
ONE～輝く季節へ～,NEXTON,1998
Kanon,Key,1999
AIR,Key,2000
リトルバスターズ!,key,2007
リトルバスターズ! エクスタシー,key,2008
Summer Pockets,Key,2018
planetarian～ちいさなほしのゆめ～ HD Edition,key,2016,
planetarian 雪圏球,key,2021
LOOPERS,Key,2021
アインシュタインより愛を込めて,GLOVETY,2020
アインシュタインより愛を込めて APOLLOCRISIS,GLOVETY,2021
ファタモルガーナの館,Novectacle,2012
ココロのカタチとイロとオト,HULOTTE ROI,2020
響野さん家はエロゲ屋さん,Sonora,2020
天穹の境界線,Noel Works,2021
9-nine-ここのつここのかここのいろ,ぱれっと,2017
9-nine-そらいろそらうたそらのおと,ぱれっと,2018
9-nine-はるいろはるこいはるのかぜ,ぱれっと,2019
9-nine-ゆきいろゆきはなゆきのあと,ぱれっと,2020
9-nine-新章,ぱれっと,2021
日向千尋は仕事が続かない,スミレ,2021
シロナガス島への帰還,TABINOMICHI,2019
ツユチル・レター～海と栞に雨音を～,Lily spinel,2021
一緒に行きましょう逝きましょう生きましょう,ウォーターフェニックス,2015
PARQUET,ゆずソフトSOUR,2021
神田アリスも推理スル。,ElDia,2021
幻想のカレイドスコープ,エンターグラム,2020
腐った果実-Rotten fruit-,旭,2021
冥約のルペルカリア,ウグイスカグラ,2021
SWANSONG,フライングシャイン,2005
あざスミ ～あざとくてスミに置けない彼女～,あざらしそふと/SMEE,2019
アーキタイプ・アーカディア,KEMCO,2021,
Vtuberメイドラミエ,monime,2021
サクラ・サンタ ～天運の巡り会い～,Winged Cloud,2021
百合色フロッタージュ,なつこん,2021
放課後百合えっち,なつこん,2021
星空鉄道とシロの旅,しらたまこ,2020
七ヶ音学園-旅行部-,LunaSystem,2021
美少女万華鏡-呪われし伝説の少女-,オメガスター,2011
美少女万華鏡-忘れな草と永遠の少女-,オメガスター,2012
美少女万華鏡-かつて少女だった君へ-,オメガスター,2014
美少女万華鏡-神が造りたもうた少女たち-,オメガスター,2015